scale,T_Gyr,gamma_per_Gyr,theta_MapA,t_half_equals_T
t_H0,14.507418397626111,0.047778809541563015,0.6931471805599453,True
t0_LCDM,13.796343847875587,0.05024136743784323,0.7288725382896603,True
t_since_recomb,13.795866196211488,0.050243106935198595,0.7288977739055962,True
t_scr = t_H ln S,4075.356971504577,0.00017008256832628897,0.002467458980852305,True
t_Page ~ t_H sqrt(S),1.450741839762611e+62,4.777880954156302e-63,6.931471805599453e-62,True
t_Page ~ t_H S,1.450741839762611e+123,4.777880954156302e-124,6.931471805599453e-123,True
