gamma,n_th,gamma_eff,V0,Vss,abs_a2_0,t_half_a2,t_half_var,t_half_theory,t_half_fit,rate_fit
0.6,0.1,0.72,0.024905912871573874,0.6,5.008924281602131,1.1552523874906357,0.06935286146932806,0.9627044174443685,1.1552453007241221,0.6000000001086107
1.2,0.1,1.44,0.024905912871573874,0.6,5.008924281602131,0.5776355077561393,0.06772942088918715,0.48135220872218426,0.5776226665117224,1.19999996666661
2.4,0.1,2.88,0.024905912871573874,0.6,5.008924281602131,0.2888270335330391,0.06454425011471726,0.24067610436109213,0.28881131983407304,2.400000044867251
3.6,0.1,4.32,0.024905912871573874,0.6,5.008924281602131,0.19257294425504157,0.061416979582844075,0.16045073624072806,0.19247703296667593,3.601194230170577
4.8,0.1,5.76,0.024905912871573874,0.6,5.008924281602131,0.144464509331527,0.05824514208595026,0.12033805218054607,0.14440462854684122,4.800034372410063
2.4,0.0,2.4,0.024905912871573874,0.5,5.008924281602131,0.28882703460199105,0.05921330876790719,0.28881132523331055,0.288817673226132,2.3999472498251184
2.4,0.05,2.64,0.024905912871573874,0.55,5.008924281602131,0.28882703391591724,0.06195975658093745,0.2625557502121005,0.2888113145287998,2.400000088953668
2.4,0.3,3.84,0.024905912871573874,0.8,5.008924281602131,0.28882722573564446,0.07387236765283686,0.1805070782708191,0.2887552704868851,2.4004659010766947
2.4,0.5,4.8,0.024905912871573874,1.0,5.008924281602131,0.28882733052294374,0.08182007427896562,0.14440566261665527,0.28865730829942426,2.401280551819404
2.4,1.0,7.199999999999999,0.024905912871573874,1.5,5.008924281602131,0.28882737432164296,0.09781167752967948,0.09627044174443686,0.2885561711699296,2.402122185603002
