a,b,sigma,n_paths,n_steps,x_span,mean_abs_X,rms_X,p95_abs_X,p99_abs_X,median_abs_X,frac_abs_gt_1e-06,frac_abs_gt_1e-05,frac_abs_gt_1e-04,frac_abs_gt_1e-03
1.0,1e-06,0.0003511191734215127,20000,8000,1.0,0.00027840527849104393,0.0003499437188887863,0.0006837458414553125,0.000907196592663647,0.00023450261030003505,0.99815,0.97695,0.7736,0.0049
1.0,1e-06,0.001,20000,8000,1.0,0.0007891908701692516,0.0009902093370379597,0.0019455134408248192,0.002526422294436299,0.0006658676323937807,0.99905,0.9919,0.91795,0.3136
1.0,2.848035868435799e-06,1e-08,20000,8000,1.0,8.022197784410842e-09,1.000632410709658e-08,1.9454231730361184e-08,2.5787616526208845e-08,6.913449817782947e-09,0.0,0.0,0.0,0.0
1.0,2.848035868435799e-06,2.848035868435799e-08,20000,8000,1.0,2.2749531321727516e-08,2.847853559077163e-08,5.5737332608604255e-08,7.388235588013427e-08,1.9314680024077003e-08,0.0,0.0,0.0,0.0
1.0,2.848035868435799e-06,8.111308307896873e-08,20000,8000,1.0,6.476118238492562e-08,8.107141381396916e-08,1.5872586456500096e-07,2.0900059519443196e-07,5.4483580087886595e-08,0.0,0.0,0.0,0.0
1.0,2.848035868435799e-06,2.310129700083158e-07,20000,8000,1.0,1.825298434939637e-07,2.2949728281833642e-07,4.498542373175117e-07,5.987279838387051e-07,1.5243595469246513e-07,0.0,0.0,0.0,0.0
1.0,2.848035868435799e-06,6.579332246575682e-07,20000,8000,1.0,5.241460912824991e-07,6.571654242988317e-07,1.2859497212797943e-06,1.7045795795370897e-06,4.4243933702290013e-07,0.1281,0.0,0.0,0.0
1.0,2.848035868435799e-06,1.873817422860383e-06,20000,8000,1.0,1.510491195098831e-06,1.8920815300866027e-06,3.692279795683301e-06,4.887192850436359e-06,1.2707779772656243e-06,0.5988,0.0,0.0,0.0
1.0,2.848035868435799e-06,5.336699231206302e-06,20000,8000,1.0,4.243569969007271e-06,5.329281391936489e-06,1.0491384758466444e-05,1.3778210843879549e-05,3.5855309248557665e-06,0.8486,0.062,0.0,0.0
1.0,2.848035868435799e-06,1.5199110829529332e-05,20000,8000,1.0,1.2130234011086939e-05,1.5221662167644512e-05,2.9889803804706485e-05,3.962061469777146e-05,1.0281008433157764e-05,0.94775,0.5106,0.0,0.0
1.0,2.848035868435799e-06,4.328761281083062e-05,20000,8000,1.0,3.438640134857451e-05,4.307382806678633e-05,8.436031587066282e-05,0.00011100440559000427,2.9113047131912736e-05,0.98145,0.8157,0.021,0.0
1.0,2.848035868435799e-06,0.0001232846739442066,20000,8000,1.0,9.876916038106283e-05,0.00012416820378928842,0.00024313367702302467,0.00031985221071850826,8.261182499160712e-05,0.9933,0.9367,0.4168,0.0
1.0,2.848035868435799e-06,0.0003511191734215127,20000,8000,1.0,0.00028065413005330306,0.00035125256693862433,0.0006871886341354402,0.0009019482937339255,0.0002376133416396414,0.9981,0.9774,0.77705,0.00405
1.0,2.848035868435799e-06,0.001,20000,8000,1.0,0.0007937671322943629,0.0009969179956124538,0.001959537723659341,0.0025671243049074123,0.0006722725311142675,0.9997,0.99205,0.91645,0.3144
1.0,8.111308307896873e-06,1e-08,20000,8000,1.0,7.990906454058435e-09,1.0007669927552225e-08,1.9623852386070672e-08,2.5617085283301655e-08,6.729148804686635e-09,0.0,0.0,0.0,0.0
1.0,8.111308307896873e-06,2.848035868435799e-08,20000,8000,1.0,2.2873213603205127e-08,2.867732649194931e-08,5.592997997674998e-08,7.417986830272897e-08,1.92624949903285e-08,0.0,0.0,0.0,0.0
1.0,8.111308307896873e-06,8.111308307896873e-08,20000,8000,1.0,6.409131293369149e-08,8.048065079580936e-08,1.582860346784403e-07,2.0863710653057101e-07,5.4019587899728323e-08,0.0,0.0,0.0,0.0
1.0,8.111308307896873e-06,2.310129700083158e-07,20000,8000,1.0,1.8477721305071352e-07,2.3116856705130313e-07,4.5231202080599645e-07,5.925463022212564e-07,1.573576814882962e-07,0.0,0.0,0.0,0.0
1.0,8.111308307896873e-06,6.579332246575682e-07,20000,8000,1.0,5.251229939349625e-07,6.580899896739204e-07,1.2905266723435967e-06,1.6905136322316915e-06,4.447382750626744e-07,0.1298,0.0,0.0,0.0
1.0,8.111308307896873e-06,1.873817422860383e-06,20000,8000,1.0,1.5048134038146223e-06,1.8863045873841384e-06,3.6929941338696896e-06,4.7921327915492385e-06,1.2738309393483767e-06,0.59665,0.0,0.0,0.0
1.0,8.111308307896873e-06,5.336699231206302e-06,20000,8000,1.0,4.239695891296047e-06,5.3143691111426714e-06,1.0426764934697552e-05,1.3603920884002164e-05,3.57568728970843e-06,0.85195,0.06025,0.0,0.0
1.0,8.111308307896873e-06,1.5199110829529332e-05,20000,8000,1.0,1.2061163565130026e-05,1.5137591029280639e-05,2.9659881424034826e-05,3.945463561666126e-05,1.0103917622410387e-05,0.9483,0.5056,0.0,0.0
1.0,8.111308307896873e-06,4.328761281083062e-05,20000,8000,1.0,3.4763203575951926e-05,4.33819015118644e-05,8.48749577863163e-05,0.00010983621408116535,2.954737423779316e-05,0.98235,0.8231,0.01995,0.0
1.0,8.111308307896873e-06,0.0001232846739442066,20000,8000,1.0,9.847485212740167e-05,0.00012336648921096197,0.0002419523005057419,0.0003179281389339524,8.265999144309717e-05,0.9927,0.9355,0.41815,0.0
1.0,8.111308307896873e-06,0.0003511191734215127,20000,8000,1.0,0.000280583537237321,0.00035162016975863507,0.0006901307090379192,0.00090352858514292,0.00023823366681379938,0.9981,0.97895,0.77385,0.0043
1.0,8.111308307896873e-06,0.001,20000,8000,1.0,0.0007896793025528973,0.0009902936526964864,0.0019339027585447098,0.002559327975165607,0.0006657530285449836,0.99925,0.9915,0.9219,0.3136
1.0,2.310129700083158e-05,1e-08,20000,8000,1.0,7.999465333748912e-09,9.980995759622516e-09,1.9606231602181326e-08,2.5402202421192926e-08,6.776763119786642e-09,0.0,0.0,0.0,0.0
1.0,2.310129700083158e-05,2.848035868435799e-08,20000,8000,1.0,2.274568025484105e-08,2.8570330670653546e-08,5.575009957420648e-08,7.422354593801055e-08,1.9199613279587906e-08,0.0,0.0,0.0,0.0
1.0,2.310129700083158e-05,8.111308307896873e-08,20000,8000,1.0,6.447074286934446e-08,8.069560784724123e-08,1.5817289125483235e-07,2.0869750079039783e-07,5.445333065990416e-08,0.0,0.0,0.0,0.0
1.0,2.310129700083158e-05,2.310129700083158e-07,20000,8000,1.0,1.851342143017195e-07,2.318030005297254e-07,4.5326235800930185e-07,5.994585456644065e-07,1.5730506238654185e-07,0.0,0.0,0.0,0.0
1.0,2.310129700083158e-05,6.579332246575682e-07,20000,8000,1.0,5.22382648013061e-07,6.546611712764672e-07,1.283779955923925e-06,1.670314698801721e-06,4.3915136092399745e-07,0.1267,0.0,0.0,0.0
1.0,2.310129700083158e-05,1.873817422860383e-06,20000,8000,1.0,1.5139453103554481e-06,1.8940510637187386e-06,3.7201192907865163e-06,4.902755805737415e-06,1.2916400275978726e-06,0.6045,0.0,0.0,0.0
1.0,2.310129700083158e-05,5.336699231206302e-06,20000,8000,1.0,4.242752074468674e-06,5.319808194465343e-06,1.0377022610194638e-05,1.3762795390074567e-05,3.593908511229616e-06,0.8475,0.0588,0.0,0.0
1.0,2.310129700083158e-05,1.5199110829529332e-05,20000,8000,1.0,1.208833765016272e-05,1.5156665035122297e-05,2.9723576655118384e-05,3.907032491534586e-05,1.0252861008002335e-05,0.9469,0.51,0.0,0.0
1.0,2.310129700083158e-05,4.328761281083062e-05,20000,8000,1.0,3.4597584945896585e-05,4.336488700785484e-05,8.543821029375144e-05,0.00011130219920256704,2.9152374513563145e-05,0.982,0.8177,0.02115,0.0
1.0,2.310129700083158e-05,0.0001232846739442066,20000,8000,1.0,9.872362473304345e-05,0.0001236251438322215,0.00024249569282664752,0.0003133640325335524,8.287293563625947e-05,0.99365,0.9347,0.4189,0.0
1.0,2.310129700083158e-05,0.0003511191734215127,20000,8000,1.0,0.0002781123823318813,0.0003487422857289445,0.0006830612083025612,0.0009037093151874671,0.0002345399411612537,0.99825,0.97825,0.77525,0.00475
1.0,2.310129700083158e-05,0.001,20000,8000,1.0,0.0008002180150988137,0.0010000876636216867,0.0019395816880745668,0.002567550152390183,0.0006775488103374882,0.99915,0.99235,0.92245,0.3185
1.0,6.579332246575683e-05,1e-08,20000,8000,1.0,8.055568417123844e-09,1.0086255564860473e-08,1.971812049935832e-08,2.5615497251339912e-08,6.771453419736823e-09,0.0,0.0,0.0,0.0
1.0,6.579332246575683e-05,2.848035868435799e-08,20000,8000,1.0,2.2828720960109214e-08,2.8656641439310787e-08,5.64554992902661e-08,7.389875501867392e-08,1.910452399249143e-08,0.0,0.0,0.0,0.0
1.0,6.579332246575683e-05,8.111308307896873e-08,20000,8000,1.0,6.475759604472407e-08,8.112282671628066e-08,1.5921090471017527e-07,2.0831052525177098e-07,5.462782702536764e-08,0.0,0.0,0.0,0.0
1.0,6.579332246575683e-05,2.310129700083158e-07,20000,8000,1.0,1.8362275706773441e-07,2.3037994578831696e-07,4.522271291835008e-07,5.945885153821215e-07,1.5434416677533859e-07,0.0,0.0,0.0,0.0
1.0,6.579332246575683e-05,6.579332246575682e-07,20000,8000,1.0,5.295600607463081e-07,6.621477612960939e-07,1.2945329246426874e-06,1.6894299667118125e-06,4.5081727478263416e-07,0.1313,0.0,0.0,0.0
1.0,6.579332246575683e-05,1.873817422860383e-06,20000,8000,1.0,1.509054166023012e-06,1.889551591328772e-06,3.706460404868207e-06,4.8762650164823424e-06,1.2784733381256723e-06,0.6007,0.0,0.0,0.0
1.0,6.579332246575683e-05,5.336699231206302e-06,20000,8000,1.0,4.271444599369346e-06,5.351778220151415e-06,1.0421453992604322e-05,1.3841456921806531e-05,3.6216333021769232e-06,0.84945,0.06045,0.0,0.0
1.0,6.579332246575683e-05,1.5199110829529332e-05,20000,8000,1.0,1.2183571683111403e-05,1.5272899624762728e-05,2.985388383108906e-05,4.029752731998074e-05,1.0201567428230724e-05,0.94855,0.5088,0.0,0.0
1.0,6.579332246575683e-05,4.328761281083062e-05,20000,8000,1.0,3.4452039811867515e-05,4.322429825196496e-05,8.45759829337848e-05,0.00011189534825533566,2.9165607715076737e-05,0.97835,0.8163,0.0212,0.0
1.0,6.579332246575683e-05,0.0001232846739442066,20000,8000,1.0,9.799267880936926e-05,0.0001228861593256217,0.00023951480354320105,0.00031969898119912573,8.344040946880739e-05,0.99345,0.93435,0.4177,0.0
1.0,6.579332246575683e-05,0.0003511191734215127,20000,8000,1.0,0.0002814883697967588,0.0003540770312485263,0.000695319044104912,0.0009188079732960944,0.00023519853306679095,0.99705,0.9766,0.77555,0.00465
1.0,6.579332246575683e-05,0.001,20000,8000,1.0,0.0007979349520816869,0.0010000712616747385,0.0019547378917447876,0.002591450620043217,0.000676634221238554,0.99925,0.99205,0.91905,0.31675
1.0,0.0001873817422860383,1e-08,20000,8000,1.0,7.968531049103275e-09,9.98259242979941e-09,1.9507080013217108e-08,2.5850173897973425e-08,6.7667879107077965e-09,0.0,0.0,0.0,0.0
1.0,0.0001873817422860383,2.848035868435799e-08,20000,8000,1.0,2.280155618895009e-08,2.8559072373846833e-08,5.60122647498583e-08,7.326801011616251e-08,1.9299662712983497e-08,0.0,0.0,0.0,0.0
1.0,0.0001873817422860383,8.111308307896873e-08,20000,8000,1.0,6.428471672259707e-08,8.035721153613467e-08,1.5658678657472757e-07,2.0787971402951373e-07,5.4748930893516455e-08,0.0,0.0,0.0,0.0
1.0,0.0001873817422860383,2.310129700083158e-07,20000,8000,1.0,1.849827925434885e-07,2.3164122441685524e-07,4.534138877325236e-07,5.95077913945548e-07,1.5701632383497825e-07,0.0,0.0,0.0,0.0
1.0,0.0001873817422860383,6.579332246575682e-07,20000,8000,1.0,5.184078498602812e-07,6.504757824712669e-07,1.2759597595994537e-06,1.6773579570597968e-06,4.3813242542515726e-07,0.12515,0.0,0.0,0.0
1.0,0.0001873817422860383,1.873817422860383e-06,20000,8000,1.0,1.4937689795290672e-06,1.8678367723556557e-06,3.6665508541411466e-06,4.762767494874116e-06,1.2677477947311947e-06,0.5952,0.0,0.0,0.0
1.0,0.0001873817422860383,5.336699231206302e-06,20000,8000,1.0,4.224824715995019e-06,5.313213682910398e-06,1.042279796747033e-05,1.3787046862103069e-05,3.5685154789977322e-06,0.84875,0.0601,0.0,0.0
1.0,0.0001873817422860383,1.5199110829529332e-05,20000,8000,1.0,1.2179291233496708e-05,1.523773978964957e-05,2.9973381096958782e-05,3.891412296523823e-05,1.0360029945476168e-05,0.94815,0.51495,0.0,0.0
