power,L_over_R_H,N_eff,sigma_0_eff,L_metres,L_over_l_P
2,3.217455291766521e-56,103520185545.1639,3.1080462953409283e-06,4.504437408473129e-30,278695.961248264
2,4.0520935732220845e-56,164194623261.4772,2.4678600874580363e-06,5.672931002510918e-30,350992.32500508387
2,5.103244905427336e-56,260431085647.70062,1.9595375462707914e-06,7.14454286759827e-30,442043.0481327681
2,6.427074818033257e-56,413072907165.97217,1.555917782681125e-06,8.99790474524656e-30,556713.1885282062
2,8.094318709389385e-56,655179953691.7104,1.2354344274089466e-06,1.1332046193145139e-29,701129.8460419389
2,1.0194061408051448e-55,1039188879911.2386,9.809632883025234e-07,1.4271685971272027e-29,883009.5480770068
2,1.283849718822886e-55,1648270100521.6035,7.789073637971139e-07,1.7973896063520404e-29,1112070.5621031586
2,1.616892457818403e-55,2614341220150.036,6.184703226021928e-07,2.2636494409457642e-29,1400552.1659303538
2,2.0363296278531944e-55,4146638353272.729,4.910796298997293e-07,2.850861478994472e-29,1763868.621594038
2,2.5645727600632103e-55,6577033441658.233,3.899284963064774e-07,3.590401864088494e-29,2221432.796240998
2,3.229847148367614e-55,10431912601818.408,3.096121748378732e-07,4.5217860077146596e-29,2797693.438049478
2,4.067699994427711e-55,16546183244667.2,2.4583917235044056e-07,5.694779992198796e-29,3523441.531317023
2,5.122899779647389e-55,26244102152311.266,1.9520194479948042e-07,7.172059691506344e-29,4437455.532392069
2,6.4518283522046165e-55,41626089086311.336,1.5499482401113413e-07,9.032559693086463e-29,5588573.395340749
2,8.1254935440444e-55,66023645334307.234,1.2306944736088705e-07,1.1375690961662161e-28,7038302.10063521
2,1.0233323289164318e-54,104720905540552.83,9.771996562044145e-08,1.4326652604830046e-28,8864104.120222393
2,1.2887943972007703e-54,166099099825609.7,7.759189535367126e-08,1.8043121560810784e-28,11163536.42266275
2,1.623119832454485e-54,263451799050707.56,6.160974562720967e-08,2.272367765436279e-28,14059463.17528038
2,2.0441724422678928e-54,417864097372748.1,4.89195519576889e-08,2.86184141917505e-28,17706620.670470007
2,2.574450074587859e-54,662779318654543.2,3.884324694702378e-08,3.6042301044230025e-28,22299885.255872387
2,3.2422867315402045e-54,1051242324952166.2,3.084242951964225e-08,4.539201424156286e-28,28084686.043701556
2,4.0833665229281085e-54,1667388216056999.0,2.4489596865356043e-08,5.716713132099352e-28,35370118.77518926
2,5.142630353562002e-54,2644664695337724.0,1.9445301941784673e-08,7.199682494986803e-28,44545461.545280926
2,6.476677223286052e-54,4194734785463232.0,1.5440016007044938e-08,9.067348112600472e-28,56100974.86226166
2,8.15678844690399e-54,6653319776754640.0,1.2259727054458085e-08,1.1419503825665585e-27,70654097.43923815
2,1.0272736385307863e-53,1.0552911284202806e+16,9.73450463919435e-09,1.438183093943101e-27,88982437.42126712
2,1.2937581197423928e-53,1.6738100723993716e+16,7.729420088193266e-09,1.8112613676393498e-27,112065321.84830672
2,1.6293711914901915e-53,2.6548504796581664e+16,6.137336938462863e-09,2.2811196680862683e-27,141136124.44114748
