theta_sub,theta_super,sigma_amp,x_exit,n_paths,mean_X_final,std_X_final,rms_X_final,mean_X_max_abs,p95_abs_X_final
0.5,0.0,1e-06,-0.4054651081081644,4000,1.6918859904435797e-08,9.684186460329165e-07,9.685664261188765e-07,2.05615240476223e-06,1.9075824876332726e-06
0.5,0.0001,1e-06,-0.4054651081081644,4000,1.691816747235618e-08,9.68379606619049e-07,9.685273805661286e-07,2.0561522071919443e-06,1.907505669597943e-06
0.5,0.0,1e-05,-0.4054651081081644,4000,7.417281655308261e-08,9.637220973423759e-06,9.637506404527791e-06,2.058155280657173e-05,1.8846943875434716e-05
0.5,0.0001,1e-05,-0.4054651081081644,4000,7.416969319427082e-08,9.636832402975982e-06,9.637117821549988e-06,2.0581550589654024e-05,1.884618279182111e-05
0.5,0.0,0.0001,-0.4054651081081644,4000,1.2433634412601616e-06,9.748813571548609e-05,9.749606432019754e-05,0.0002062105685735068,0.00019253563306343484
0.5,0.0001,0.0001,-0.4054651081081644,4000,1.2433116054424043e-06,9.748420461600787e-05,9.74921328793453e-05,0.00020621054786853333,0.00019252791295098983
0.5,0.0,0.001,-0.4054651081081644,4000,1.2433634412601706e-05,0.0009748813571548608,0.0009749606432019754,0.0020621056857350675,0.0019253563306343474
0.5,0.0001,0.001,-0.4054651081081644,4000,1.2433116054424095e-05,0.0009748420461600787,0.0009749213287934529,0.002062105478685333,0.0019252791295098959
1.2,0.0,1e-06,-0.4054651081081644,4000,6.39468498829221e-10,6.096930909288823e-07,6.096934262778099e-07,1.5883085095234725e-06,1.194590081112784e-06
1.2,0.0001,1e-06,-0.4054651081081644,4000,6.394322361959414e-10,6.096686438446826e-07,6.096689791690234e-07,1.5883084290925223e-06,1.1945422391099417e-06
1.2,0.0,1e-05,-0.4054651081081644,4000,-2.8766888991398714e-08,6.049017534311911e-06,6.049085936264684e-06,1.5888317786761787e-05,1.1886314618628655e-05
1.2,0.0001,1e-05,-0.4054651081081644,4000,-2.8765910805732897e-08,6.048774881081424e-06,6.048843281126242e-06,1.5888316931692652e-05,1.188583407016734e-05
1.2,0.0,0.0001,-0.4054651081081644,4000,8.590259795799594e-07,6.139604318273528e-05,6.140205244232385e-05,0.00015929822925727575,0.0001222434150358272
1.2,0.0001,0.0001,-0.4054651081081644,4000,8.589905065826023e-07,6.139358086962645e-05,6.139958987392148e-05,0.00015929821972934978,0.00012223855434036226
1.2,0.0,0.001,-0.4054651081081644,4000,8.590259795799593e-06,0.0006139604318273528,0.0006140205244232385,0.0015929822925727572,0.0012224341503582756
1.2,0.0001,0.001,-0.4054651081081644,4000,8.589905065826038e-06,0.0006139358086962645,0.0006139958987392149,0.0015929821972934977,0.0012223855434036215
3.0,0.0,1e-06,-0.4054651081081644,4000,-7.114932345657007e-09,3.624469815346992e-07,3.6251680883222216e-07,1.157869122534579e-06,7.02734767590657e-07
3.0,0.0001,1e-06,-0.4054651081081644,4000,-7.114651981505254e-09,3.624326393794193e-07,3.625024639369367e-07,1.1578690918493665e-06,7.027074425881414e-07
3.0,0.0,1e-05,-0.4054651081081644,4000,-9.81330772283819e-08,3.5725289156489404e-06,3.573876460371022e-06,1.1557387119205135e-05,6.9890309594503866e-06
3.0,0.0001,1e-05,-0.4054651081081644,4000,-9.812920179100707e-08,3.57238757546059e-06,3.5737350670620973e-06,1.1557386765445601e-05,6.988744908409738e-06
3.0,0.0,0.0001,-0.4054651081081644,4000,-1.1879564448211025e-07,3.629433490679997e-05,3.629452932236629e-05,0.00011575028233180795,7.027950850515168e-05
3.0,0.0001,0.0001,-0.4054651081081644,4000,-1.1879106837843153e-07,3.629289881445299e-05,3.6293093222733847e-05,0.00011575027904972885,7.027677862400004e-05
3.0,0.0,0.001,-0.4054651081081644,4000,-1.1879564448211075e-06,0.00036294334906799967,0.0003629452932236629,0.0011575028233180794,0.0007027950850515155
3.0,0.0001,0.001,-0.4054651081081644,4000,-1.1879106837843133e-06,0.0003629289881445299,0.0003629309322273385,0.0011575027904972886,0.0007027677862399997
