gamma,n_th,r,t_half,t_half_theory,gamma_eff,rel_err,abs_a2_0
2.4,0.1,0.8,0.2888558581448226,0.24067610436109213,2.88,0.20018503254251302,1.1877839766001137
2.4,0.1,1.2,0.2888558577883708,0.24067610436109213,2.88,0.2001850310614694,2.7331143014991333
2.4,0.1,1.5,0.2888558091318988,0.24067610436109213,2.88,0.20018482889569084,5.00738263179306
2.4,0.1,1.8,0.2888548914595366,0.24067610436109213,2.88,0.2001810160021564,8.95423967786134
2.4,0.3,0.8,0.2888561361957727,0.1805070782708191,3.84,0.6002482504447549,1.1877839766001137
2.4,0.3,1.2,0.2888558786185827,0.1805070782708191,3.84,0.6002468234802697,2.7331143014991333
2.4,0.3,1.5,0.28885549698991375,0.1805070782708191,3.84,0.6002447092769233,5.00738263179306
2.4,0.3,1.8,0.2888487529335407,0.1805070782708191,3.84,0.6002073475488532,8.95423967786134
2.4,0.5,0.8,0.28885702106386774,0.14440566261665527,4.8,1.000316440711044,1.1877839766001137
2.4,0.5,1.2,0.28885598936021817,0.14440566261665527,4.8,1.0003092962290974,2.7331143014991333
2.4,0.5,1.5,0.28885499572025575,0.14440566261665527,4.8,1.0003024153357554,5.00738263179306
2.4,0.5,1.8,0.2888388051935424,0.14440566261665527,4.8,1.0001902969712815,8.95423967786134
2.4,1.0,0.8,0.28885681169194755,0.09627044174443686,7.199999999999999,2.0004724862357826,1.1877839766001137
2.4,1.0,1.2,0.28885656759751077,0.09627044174443686,7.199999999999999,2.000469950728182,2.7331143014991333
2.4,1.0,1.5,0.2888534183016764,0.09627044174443686,7.199999999999999,2.0004372377191073,5.00738263179306
2.4,1.0,1.8,0.28880135709133903,0.09627044174443686,7.199999999999999,1.9998964568792776,8.95423967786134
3.6,0.0,0.8,0.1926046786945631,0.1925408834888737,3.6,0.00033133329677019913,1.1877839766001137
3.6,0.0,1.2,0.19260467876055376,0.1925408834888737,3.6,0.0003313336395060181,2.7331143014991333
3.6,0.0,1.5,0.19260467449529795,0.1925408834888737,3.6,0.0003313114870377323,5.00738263179306
3.6,0.0,1.8,0.1926046786937342,0.1925408834888737,3.6,0.00033133329246517833,8.95423967786134
3.6,0.1,0.8,0.19260511344524406,0.16045073624072806,4.32,0.20040030951477855,1.1877839766001137
3.6,0.1,1.2,0.19260467871333636,0.16045073624072806,4.32,0.20039760007312762,2.7331143014991333
3.6,0.1,1.5,0.19260464381323078,0.16045073624072806,4.32,0.20039738256022366,5.00738263179306
3.6,0.1,1.8,0.1926040511816177,0.16045073624072806,4.32,0.20039368901772597,8.95423967786134
3.6,0.3,0.8,0.1926055219577673,0.12033805218054604,5.760000000000001,0.6005371407274955,1.1877839766001137
3.6,0.3,1.2,0.19260477559783687,0.12033805218054604,5.760000000000001,0.6005309385336182,2.7331143014991333
3.6,0.3,1.5,0.1926044464736737,0.12033805218054604,5.760000000000001,0.6005282035370214,5.00738263179306
3.6,0.3,1.8,0.1926000696633905,0.12033805218054604,5.760000000000001,0.6004918325786762,8.95423967786134
3.6,0.5,0.8,0.19260509535363676,0.09627044174443684,7.2,1.0006669945997915,1.1877839766001137
3.6,0.5,1.2,0.19260469367743258,0.09627044174443684,7.2,1.0006628222266631,2.7331143014991333
3.6,0.5,1.5,0.19260420395318079,0.09627044174443684,7.2,1.000657735262867,5.00738263179306
3.6,0.5,1.8,0.19259362289661583,0.09627044174443684,7.2,1.000547825550465,8.95423967786134
3.6,1.0,0.8,0.19260467834271094,0.06418029449629123,10.8,2.0009939944080646,1.1877839766001137
3.6,1.0,1.2,0.1926049035169,0.06418029449629123,10.8,2.0009975028710723,2.7331143014991333
3.6,1.0,1.5,0.19260304398519593,0.06418029449629123,10.8,2.0009685293096595,5.00738263179306
3.6,1.0,1.8,0.1925691380420622,0.06418029449629123,10.8,2.00044023720069,8.95423967786134
4.8,0.0,0.8,0.14453537439468245,0.14440566261665527,4.8,0.0008982457867425381,1.1877839766001137
4.8,0.0,1.2,0.1445352498230655,0.14440566261665527,4.8,0.0008973831362433734,2.7331143014991333
4.8,0.0,1.5,0.14453524718365804,0.14440566261665527,4.8,0.0008973648585150452,5.00738263179306
4.8,0.0,1.8,0.1445352492500439,0.14440566261665527,4.8,0.0008973791681053378,8.95423967786134
4.8,0.1,0.8,0.14453529638266974,0.12033805218054607,5.76,0.20107724667023832,1.1877839766001137
4.8,0.1,1.2,0.14453526127656016,0.12033805218054607,5.76,0.20107695494115563,2.7331143014991333
4.8,0.1,1.5,0.1445352445642594,0.12033805218054607,5.76,0.20107681606321584,5.00738263179306
4.8,0.1,1.8,0.14453477516552363,0.12033805218054607,5.76,0.20107291539566086,8.95423967786134
