# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
3.012714070881163941e-01 2.489956252063911535e+01 0.000000000000000000e+00 7.385680427230642559e-46
3.126007243068700259e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.969477908483696649e-46
3.243560807235807975e-01 2.489956252063911535e+01 0.000000000000000000e+00 5.509549989539964339e-47
3.365534975507090687e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.614104165619780043e-47
3.492095984787267904e-01 2.489956252063911535e+01 0.000000000000000000e+00 4.943912037895066481e-48
3.623416323323145893e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.580641297720631268e-48
3.759674965785463896e-01 2.489956252063911535e+01 0.000000000000000000e+00 5.266770259518173926e-49
3.901057617190989424e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.826221259872556492e-49
4.047756965997317824e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.580114770241097319e-50
4.199972946715301858e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.460256585384375303e-50
4.357913012397025554e-01 2.489956252063911535e+01 0.000000000000000000e+00 9.532611635933803138e-51
4.521792417370697481e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.822669628918746030e-51
4.691834510607794106e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.584543428262499860e-51
4.868271040122278959e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.781141213804408239e-52
5.051342468816760745e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.992680335471588834e-52
5.241298302206056636e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.360481423421736191e-52
5.438397428464796235e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.364042023025908237e-53
5.642908471262536585e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.060073799218772806e-53
5.855110155867238042e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.510969861678970771e-53
6.075291689016071306e-01 2.489956252063911535e+01 0.000000000000000000e+00 7.653975204836804991e-54
6.303753153071275372e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.973956362513748344e-54
6.540805914998252257e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.112885515627418746e-54
6.786773050723294842e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.149401509734696035e-54
7.041989785449288552e-01 2.489956252063911535e+01 0.000000000000000000e+00 6.392196735755219790e-55
7.306803950529499048e-01 2.489956252063911535e+01 0.000000000000000000e+00 3.631313818762389039e-55
7.581576457522110069e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.105610341853365066e-55
7.866681790071581304e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.245289210400441808e-55
8.162508514287220018e-01 2.489956252063911535e+01 0.000000000000000000e+00 7.506362922081317576e-56
8.469459808314576676e-01 2.489956252063911535e+01 0.000000000000000000e+00 4.608465979634004530e-56
8.787954011821310640e-01 2.489956252063911535e+01 0.000000000000000000e+00 2.879797493230487978e-56
9.118425196146562328e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.830492504640801282e-56
9.461323755890759246e-01 2.489956252063911535e+01 0.000000000000000000e+00 1.182786052681054839e-56
9.817117022752183120e-01 2.489956252063911535e+01 0.000000000000000000e+00 7.764583798306358476e-57
1.018628990244686561e+00 2.489956252063911535e+01 0.000000000000000000e+00 5.175529586894515094e-57
1.056934553557987266e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.500869699754573600e-57
1.096680598336867485e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.401874137438597125e-57
1.137921293915313825e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.670531577289888118e-57
1.180712846666189142e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.177265334936728492e-57
1.225113576604117682e+00 2.489956252063911535e+01 0.000000000000000000e+00 8.402376051926209415e-58
1.271183996869027499e+00 2.489956252063911535e+01 0.000000000000000000e+00 6.070693962708933392e-58
1.318986896198669267e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.438034163462664589e-58
1.368587424502517802e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.281509012160570089e-58
1.420053181653681662e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.453061988231500587e-58
1.473454309619834257e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.853203810203246994e-58
1.528863588058729572e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.414332778073412473e-58
1.586356533508589628e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.090018389874345799e-58
1.646011502308549757e+00 2.489956252063911535e+01 0.000000000000000000e+00 8.480387033241790388e-59
1.707909797389426831e+00 2.489956252063911535e+01 0.000000000000000000e+00 6.658073298743455621e-59
1.772135779080358464e+00 2.489956252063911535e+01 0.000000000000000000e+00 5.273383143225154771e-59
1.838776980082326817e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.212112211034920952e-59
1.907924224765265020e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.391933942895442889e-59
1.979671752951332575e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.752982840474603192e-59
2.054117348353064365e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.251358988684870994e-59
2.131362471841437678e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.854607725051888533e-59
2.211512399725488631e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.538546762955498417e-59
2.294676367231936354e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.285020551285726255e-59
2.380967717380358284e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.080298078225036715e-59
2.470504055456825387e+00 2.489956252063911535e+01 0.000000000000000000e+00 9.139208288998813690e-60
2.563407409296515116e+00 2.489956252063911535e+01 0.000000000000000000e+00 7.778681606722186174e-60
