A0,theta,sigma_DESI_path,sigma_Euclid_narrow_path,sigma_recomb_path,t_half_Gyr,damping_factor_DESI
3e-05,0.001,2.9971813249848057e-05,2.9988369289209846e-05,2.9790886711090595e-05,10055.776159518018,0.9990604416616019
3e-05,0.05,2.8622621927711135e-05,2.9423954017672633e-05,2.1146087122971767e-05,201.11552319036036,0.9540873975903711
3e-05,0.1,2.730848286722301e-05,2.885896900113711e-05,1.4905233353743747e-05,100.55776159518018,0.910282762240767
3e-05,0.3,2.262821053599267e-05,2.6705451547120403e-05,3.679373105533885e-06,33.51925386506006,0.754273684533089
3e-05,0.5,1.8750068048481023e-05,2.471263413143742e-05,9.08257262965009e-07,20.111552319036036,0.6250022682827008
3e-05,0.693,1.5639149935065842e-05,2.2930682677611184e-05,2.354554257187286e-07,14.51049950868401,0.5213049978355281
3e-05,1.0,1.1718835060755635e-05,2.0357142857142858e-05,2.749770852428965e-08,10.055776159518018,0.39062783535852114
3e-05,1.2,9.710399082976105e-06,1.883804969567055e-05,6.7878393317920964e-09,8.379813466265015,0.3236799694325368
3e-05,2.0,4.577703172706517e-06,1.3813775510204083e-05,2.5204132469559723e-11,5.027888079759009,0.1525901057568839
3e-05,3.0,1.7881782812681808e-06,9.373633381924201e-06,2.310186294185126e-14,3.351925386506006,0.05960594270893936
3e-05,5.0,2.7285831305087475e-07,4.316175575095198e-06,1.9408747129334394e-20,2.0111552319036035,0.009095277101695824
0.0001,0.001,9.990604416616019e-05,9.996123096403283e-05,9.930295570363531e-05,10055.776159518018,0.9990604416616019
0.0001,0.05,9.540873975903711e-05,9.807984672557544e-05,7.048695707657255e-05,201.11552319036036,0.9540873975903711
0.0001,0.1,9.10282762240767e-05,9.61965633371237e-05,4.9684111179145826e-05,100.55776159518018,0.910282762240767
0.0001,0.3,7.54273684533089e-05,8.901817182373468e-05,1.2264577018446282e-05,33.51925386506006,0.754273684533089
0.0001,0.5,6.250022682827008e-05,8.23754471047914e-05,3.0275242098833633e-06,20.111552319036036,0.6250022682827008
0.0001,0.693,5.213049978355281e-05,7.643560892537061e-05,7.848514190624287e-07,14.51049950868401,0.5213049978355281
0.0001,1.0,3.906278353585211e-05,6.785714285714286e-05,9.165902841429883e-08,10.055776159518018,0.39062783535852114
0.0001,1.2,3.236799694325368e-05,6.27934989855685e-05,2.2626131105973654e-08,8.379813466265015,0.3236799694325368
0.0001,2.0,1.525901057568839e-05,4.604591836734695e-05,8.401377489853241e-11,5.027888079759009,0.1525901057568839
0.0001,3.0,5.9605942708939365e-06,3.1245444606414005e-05,7.700620980617087e-14,3.351925386506006,0.05960594270893936
0.0001,5.0,9.095277101695824e-07,1.4387251916983996e-05,6.469582376444797e-20,2.0111552319036035,0.009095277101695824
0.00015,0.001,0.00014985906624924027,0.00014994184644604922,0.00014895443355545296,10055.776159518018,0.9990604416616019
0.00015,0.05,0.00014311310963855566,0.00014711977008836314,0.00010573043561485882,201.11552319036036,0.9540873975903711
0.00015,0.1,0.00013654241433611503,0.00014429484500568554,7.452616676871873e-05,100.55776159518018,0.910282762240767
0.00015,0.3,0.00011314105267996333,0.000133527257735602,1.839686552766942e-05,33.51925386506006,0.754273684533089
0.00015,0.5,9.375034024240511e-05,0.0001235631706571871,4.541286314825045e-06,20.111552319036036,0.6250022682827008
0.00015,0.693,7.81957496753292e-05,0.00011465341338805591,1.1772771285936428e-06,14.51049950868401,0.5213049978355281
0.00015,1.0,5.859417530377816e-05,0.00010178571428571428,1.3748854262144825e-07,10.055776159518018,0.39062783535852114
0.00015,1.2,4.855199541488052e-05,9.419024847835274e-05,3.393919665896048e-08,8.379813466265015,0.3236799694325368
0.00015,2.0,2.288851586353258e-05,6.906887755102041e-05,1.2602066234779859e-10,5.027888079759009,0.1525901057568839
0.00015,3.0,8.940891406340903e-06,4.6868166909621e-05,1.155093147092563e-13,3.351925386506006,0.05960594270893936
0.00015,5.0,1.3642915652543735e-06,2.158087787547599e-05,9.704373564667196e-20,2.0111552319036035,0.009095277101695824
0.0005,0.001,0.000499530220830801,0.0004998061548201642,0.0004965147785181766,10055.776159518018,0.9990604416616019
0.0005,0.05,0.00047704369879518553,0.0004903992336278772,0.0003524347853828628,201.11552319036036,0.9540873975903711
0.0005,0.1,0.0004551413811203835,0.0004809828166856185,0.00024842055589572914,100.55776159518018,0.910282762240767
0.0005,0.3,0.00037713684226654446,0.0004450908591186734,6.13228850922314e-05,33.51925386506006,0.754273684533089
0.0005,0.5,0.0003125011341413504,0.000411877235523957,1.5137621049416817e-05,20.111552319036036,0.6250022682827008
0.0005,0.693,0.00026065249891776403,0.00038217804462685305,3.924257095312143e-06,14.51049950868401,0.5213049978355281
0.0005,1.0,0.00019531391767926056,0.00033928571428571433,4.5829514207149416e-07,10.055776159518018,0.39062783535852114
0.0005,1.2,0.0001618399847162684,0.0003139674949278425,1.1313065552986828e-07,8.379813466265015,0.3236799694325368
0.0005,2.0,7.629505287844194e-05,0.00023022959183673474,4.2006887449266204e-10,5.027888079759009,0.1525901057568839
0.0005,3.0,2.980297135446968e-05,0.00015622722303207002,3.8503104903085434e-13,3.351925386506006,0.05960594270893936
0.0005,5.0,4.547638550847912e-06,7.193625958491998e-05,3.234791188222399e-19,2.0111552319036035,0.009095277101695824
0.018,0.001,0.017983087949908834,0.017993021573525905,0.017874532026654354,10055.776159518018,0.9990604416616019
0.018,0.05,0.017173573156626678,0.017654372410603577,0.01268765227378306,201.11552319036036,0.9540873975903711
0.018,0.1,0.016385089720333805,0.017315381400682263,0.008943140012246248,100.55776159518018,0.910282762240767
0.018,0.3,0.0135769263215956,0.01602327092827224,0.0022076238633203307,33.51925386506006,0.754273684533089
0.018,0.5,0.011250040829088613,0.014827580478862451,0.0005449543577790054,20.111552319036036,0.6250022682827008
0.018,0.693,0.009383489961039505,0.01375840960656671,0.00014127325543123714,14.51049950868401,0.5213049978355281
0.018,1.0,0.00703130103645338,0.012214285714285714,1.649862511457379e-05,10.055776159518018,0.39062783535852114
0.018,1.2,0.005826239449785662,0.011302829817402328,4.072703599075257e-06,8.379813466265015,0.3236799694325368
0.018,2.0,0.00274662190362391,0.00828826530612245,1.5122479481735833e-08,5.027888079759009,0.1525901057568839
0.018,3.0,0.0010729069687609085,0.00562418002915452,1.3861117765110755e-11,3.351925386506006,0.05960594270893936
0.018,5.0,0.00016371498783052482,0.002589705345057119,1.1645248277600635e-17,2.0111552319036035,0.009095277101695824
